X,Y,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
-10688405.0642,3400478.5744,72123,304045,SOUTH LANE CITY,LANE CITY,TX,77488,SUBSTATION,IN SERVICE,WHARTON,48481,USA,29.194920956,-96.01557632,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2017/05/08 00:00:00+00,IMAGERY,2017/05/08 00:00:00+00,5,138.0,69.0,N,N
-10580744.2873,3455674.2833,72124,304046,UNKNOWN304046,BAYSIDE TERRACE,TX,77507,SUBSTATION,IN SERVICE,HARRIS,48201,USA,29.626848276,-95.048443106,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/05/15 00:00:00+00,IMAGERY,2017/05/15 00:00:00+00,1,138.0,69.0,N,N
-10816394.169,3881311.3812,72126,304048,COLLEYVILLE,COLLEYVILLE,TX,76034,SUBSTATION,IN SERVICE,TARRANT,48439,USA,32.8945182570001,-97.1653220109999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2015/06/11 00:00:00+00,IMAGERY,2015/06/11 00:00:00+00,2,138.0,69.0,N,N
-10898188.8202,3492176.8494,72127,304049,CANYON,SAN MARCOS,TX,78666,SUBSTATION,IN SERVICE,HAYS,48209,USA,29.9114827980001,-97.900095864,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2015/06/11 00:00:00+00,IMAGERY,2015/06/11 00:00:00+00,3,138.0,69.0,Y,Y
-10612976.5602,3814645.4902,72128,304050,UNKNOWN304050,TYLER,TX,75702,SUBSTATION,IN SERVICE,SMITH,48423,USA,32.3902406400001,-95.33799054,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018/01/04 00:00:00+00,IMAGERY/OTHER,2018/01/04 00:00:00+00,3,138.0,-999999.0,Y,N
-11186200.9475,3795127.0186,72129,304051,UNKNOWN304051,MARYNEAL,TX,79535,SUBSTATION,IN SERVICE,NOLAN,48353,USA,32.242061107,-100.487352824,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2017/04/12 00:00:00+00,IMAGERY,2017/04/12 00:00:00+00,1,138.0,69.0,N,N
-10757830.3377,3937575.149,72132,304054,ANNA,WESTON,TX,75071,SUBSTATION,IN SERVICE,COLLIN,48085,USA,33.317891423,-96.639234163,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2017/01/18 00:00:00+00,IMAGERY,2017/01/18 00:00:00+00,10,345.0,69.0,N,N
-11377359.7292,3751169.5861,72134,304056,UNKNOWN304056,MIDLAND,TX,79706,SUBSTATION,IN SERVICE,MIDLAND,48329,USA,31.9074611560001,-102.204561377,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/04/18 00:00:00+00,IMAGERY,2017/04/18 00:00:00+00,1,138.0,69.0,Y,Y
-10956544.3393,3443476.3114,72136,304058,NACOGDOCHES ROAD,SAN ANTONIO,TX,78217,SUBSTATION,IN SERVICE,BEXAR,48029,USA,29.531552662,-98.424312411,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2017/01/04 00:00:00+00,IMAGERY,2017/01/04 00:00:00+00,2,138.0,69.0,N,N
-10624403.1511,3396915.7424,72137,304059,ANGLETON,ANGLETON,TX,77515,SUBSTATION,IN SERVICE,BRAZORIA,48039,USA,29.1669774900001,-95.4406373529999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2017/05/08 00:00:00+00,IMAGERY,2017/05/08 00:00:00+00,2,138.0,69.0,N,N
-10475837.0775,3632005.8092,72138,304060,MILL CREEK,CURTIS,TX,75951,SUBSTATION,IN SERVICE,JASPER,48241,USA,30.9942761070001,-94.1060456069999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2016/11/28 00:00:00+00,IMAGERY,2016/11/28 00:00:00+00,4,138.0,69.0,Y,Y
-10858701.0457,3521895.4002,72139,304061,GARFIELD,GARFIELD,TX,78612,SUBSTATION,IN SERVICE,BASTROP,48021,USA,30.142619074,-97.5453711499999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2016/01/27 00:00:00+00,IMAGERY,2016/01/27 00:00:00+00,5,345.0,69.0,N,N
-10586706.498,3469127.9671,72141,304063,UNKNOWN304063,DEER PARK,TX,77536,SUBSTATION,IN SERVICE,HARRIS,48201,USA,29.73184959,-95.1020025559999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015/08/20 00:00:00+00,IMAGERY,2015/08/20 00:00:00+00,2,138.0,69.0,Y,Y
-11394750.5786,4139569.2632,72142,304064,DEAF SMITH,HEREFORD,TX,79045,SUBSTATION,IN SERVICE,DEAF SMITH,48117,USA,34.820903952,-102.360786035,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2017/05/31 00:00:00+00,IMAGERY,2017/05/31 00:00:00+00,5,230.0,138.0,N,N
-11249319.7548,3845917.8659,72144,304066,UNKNOWN304066,SNYDER,TX,79549,SUBSTATION,IN SERVICE,SCURRY,48415,USA,32.627146775,-101.054358717,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/03/22 00:00:00+00,IMAGERY,2017/03/22 00:00:00+00,5,345.0,69.0,Y,Y
-11223745.2641,3859961.0254,72145,304067,UNKNOWN304067,SNYDER,TX,79549,SUBSTATION,NOT AVAILABLE,SCURRY,48415,USA,32.7333283880001,-100.824619158,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/03/22 00:00:00+00,IMAGERY,2017/03/22 00:00:00+00,0,345.0,13.8,Y,Y
-10927331.6207,3039112.8844,72146,304068,UNKNOWN304068,EDINBURG,TX,78541,SUBSTATION,IN SERVICE,HIDALGO,48215,USA,26.3227721100001,-98.161890095,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/02/14 00:00:00+00,IMAGERY,2017/02/14 00:00:00+00,2,138.0,69.0,N,N
-11241677.5579,3861156.6073,72147,304069,UNKNOWN304069,SNYDER,TX,79549,SUBSTATION,NOT AVAILABLE,SCURRY,48415,USA,32.742362459,-100.985707694,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/03/22 00:00:00+00,IMAGERY,2017/03/22 00:00:00+00,3,138.0,13.8,Y,Y
-11101424.0563,3816488.4908,72148,304070,ABILENE MAPLE STREET,ABILENE,TX,79602,SUBSTATION,IN SERVICE,TAYLOR,48441,USA,32.4042197250001,-99.725789053,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/04/18 00:00:00+00,IMAGERY,2017/04/18 00:00:00+00,2,138.0,69.0,N,N
-11291340.2652,4254985.5883,72150,304072,UNKNOWN304072,BUNAVISTA,TX,79007,SUBSTATION,IN SERVICE,HUTCHINSON,48233,USA,35.6676443440001,-101.431835384,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/04/12 00:00:00+00,IMAGERY,2017/04/12 00:00:00+00,4,115.0,69.0,N,N
-11434040.5664,3594093.7143,72151,304073,UNKNOWN304073,FORT STOCKTON,TX,79735,SUBSTATION,IN SERVICE,PECOS,48371,USA,30.7018870000001,-102.713734,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018/08/06 00:00:00+00,UNVERIFIED,2018/08/06 00:00:00+00,0,-999999.0,-999999.0,N,N
-10812763.7577,3580425.9986,72153,304075,UNKNOWN304075,SANDOW,TX,76577,SUBSTATION,IN SERVICE,MILAM,48331,USA,30.5962593950001,-97.1327094709999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015/08/14 00:00:00+00,IMAGERY,2015/08/14 00:00:00+00,2,138.0,69.0,Y,Y
-10869781.7961,3583986.7762,72154,304076,UNKNOWN304076,GEORGETOWN,TX,78626,SUBSTATION,IN SERVICE,WILLIAMSON,48491,USA,30.623789109,-97.644911225,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2015/08/27 00:00:00+00,IMAGERY,2015/08/27 00:00:00+00,2,138.0,69.0,N,N
-10864889.8135,3858161.2953,72158,304080,UNKNOWN304080,ALEDO,TX,76008,SUBSTATION,IN SERVICE,PARKER,48367,USA,32.7197275180001,-97.600965797,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2017/05/02 00:00:00+00,IMAGERY,2017/05/02 00:00:00+00,4,345.0,13.8,Y,Y
-10797093.6046,3881365.4934,72159,304081,RISER306233,IRVING,TX,75261,RISER,IN SERVICE,DALLAS,48113,USA,32.8949264190001,-96.9919420909999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2017/05/02 00:00:00+00,IMAGERY,2017/05/02 00:00:00+00,2,138.0,138.0,N,N
